Time,Location,Magnitude,Depth,URL
2024-05-08 19:51:39.375,"114 km ENE of Luganville, Vanuatu",5.2,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mx7t
2024-05-08 19:06:20.114,"105 km ENE of Luganville, Vanuatu",5.4,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mx7c
2024-05-08 18:00:58.595,"19 km SSW of Ollagüe, Chile",5.2,106.573,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mx68
2024-05-08 16:17:15.894,"101 km ENE of Luganville, Vanuatu",6.1,19.175,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mx5c
2024-05-08 07:28:24.730,West Chile Rise,5.0,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mx3q
2024-05-07 22:34:58.484,east of the South Sandwich Islands,5.6,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mwyt
2024-05-07 21:12:56.228,"25 km SSW of Maan, Philippines",5.0,50.41,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mwy9
2024-05-07 16:03:03.382,"12 km E of Hernani, Philippines",5.0,68.686,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mwwl
2024-05-07 15:55:57.549,South Sandwich Islands region,5.1,83.706,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mwwk
2024-05-06 19:11:57.375,"201 km NNE of Egvekinot, Russia",5.3,9.293,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mwnp
2024-05-06 17:52:45.587,"27 km S of Hualien City, Taiwan",5.2,28.949,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mwnh
2024-05-06 17:45:30.649,"28 km S of Hualien City, Taiwan",5.6,23.605,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mwnf
2024-05-06 14:30:30.333,"78 km WNW of Ollagüe, Chile",5.0,106.109,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mwmw
2024-05-06 08:58:40.717,central East Pacific Rise,5.0,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mya9
2024-05-06 04:37:11.921,"157 km WSW of Fakfak, Indonesia",5.5,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mwkd
2024-05-06 02:33:11.021,"154 km WSW of Fakfak, Indonesia",6.1,16.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mwjd
2024-05-06 01:12:55.540,central East Pacific Rise,5.4,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mwij
2024-05-05 23:40:24.294,"96 km NNW of Lae, Papua New Guinea",5.1,123.323,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mwhz
2024-05-05 22:34:18.913,South Sandwich Islands region,5.2,87.087,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mwhq
2024-05-05 16:58:10.081,"97 km NNW of Finschhafen, Papua New Guinea",5.3,130.507,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mxsc
2024-05-05 16:27:46.474,"187 km SE of Akutan, Alaska",5.2,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mwfw
2024-05-05 15:13:40.018,"172 km WNW of Pangai, Tonga",5.7,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mwfi
2024-05-05 14:15:37.730,"Kermadec Islands, New Zealand",5.2,209.376,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mwfb
2024-05-05 13:44:24.286,"156 km NE of Fais, Micronesia",5.5,45.449,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mwf5
2024-05-05 12:38:17.613,"11 km SE of Colquepata, Peru",5.0,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mweu
2024-05-04 13:52:35.611,north of Ascension Island,5.4,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mw9y
